time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
30011,-0.57,3.61,-1.08,0.28,0.09,-0.43
30025,-1.63,3.32,-1.45,0.26,0.22,-0.24
30039,-1.89,3.31,-1.58,0.24,0.28,0.15
30054,-1.9,3.27,-1.67,0.2,0.18,0.31
30070,-1.72,3.15,-1.65,0.02,-0.12,0.55
30084,-1.44,2.66,-1.45,-0.07,-0.22,0.62
30099,-1.46,2.5,-1.38,-0.18,-0.15,0.73
30114,-1.56,2.27,-1.21,-0.2,-0.03,0.82
30129,-1.94,1.81,-1.21,-0.2,0.2,1.02
30143,-1.99,1.75,-1.19,-0.2,0.28,1.12
30158,-1.85,1.43,-0.96,-0.25,0.34,1.26
30177,-1.42,1,-0.64,-0.31,0.36,1.29
30191,-0.95,0.62,-0.19,-0.29,0.36,1.29
30207,-0.38,0.13,0.23,-0.17,0.39,1.34
30221,-0.06,-0.03,0.44,-0.08,0.42,1.36
30235,0.89,0.13,0.5,0.01,0.47,1.38
30250,1.11,0.17,0.38,0.11,0.55,1.4
30265,1.15,0.36,0.16,0.08,0.61,1.36
30279,0.66,0.34,0.17,-0.08,0.71,1.16
30293,-0.3,0.24,0.19,-0.19,0.72,1.04
30310,-1.41,-0.01,0.53,-0.41,0.65,0.81
30324,-1.9,-0.21,0.61,-0.49,0.55,0.74
30338,-2.57,-0.6,0.87,-0.63,0.29,0.64
30352,-2.41,-0.63,0.99,-0.68,0.17,0.62
30369,-1.25,-0.6,1.14,-0.79,-0.02,0.61
30383,-0.82,-0.65,1.22,-0.86,-0.05,0.61
30399,0.01,-1.04,1.38,-0.93,0,0.54
30413,0.13,-1.19,1.47,-0.91,0.05,0.48
30427,0.33,-1.42,1.65,-0.87,0.1,0.42
30441,0.46,-1.45,1.7,-0.72,0.15,0.35
30456,0.82,-1.47,1.69,-0.61,0.13,0.36
30471,1.25,-1.36,1.7,-0.39,0.1,0.36
30485,1.39,-1.34,1.7,-0.28,0.09,0.36
30500,1.44,-1.17,1.81,-0.11,0.12,0.35
30514,1.36,-1.17,1.84,-0.03,0.16,0.35
30528,1.17,-1.1,1.85,0.05,0.22,0.39
30542,1.06,-0.98,1.76,0.07,0.22,0.43
30557,1.05,-1.05,1.73,0.05,0.2,0.47
30572,1.1,-1.14,1.82,-0.04,0.16,0.53
30586,1.15,-1.26,1.91,-0.1,0.14,0.54
30601,1.41,-1.4,1.79,-0.23,0.08,0.53
30615,1.79,-1.52,1.74,-0.28,0.04,0.52
30629,2.11,-1.79,1.73,-0.34,0.02,0.51
30643,2.16,-2.17,1.74,-0.33,0.03,0.49
30659,1.76,-2.52,1.84,-0.24,0.13,0.44
30673,1.43,-2.65,1.93,-0.14,0.19,0.42
30687,0.37,-2.78,2.06,-0.02,0.23,0.43
30702,0.11,-2.79,2.07,0.19,0.21,0.51
30716,-0.23,-2.78,1.82,0.24,0.16,0.55
30730,-0.48,-2.75,1.42,0.25,0.1,0.55
30744,-0.62,-2.72,1.23,0.2,0.11,0.51
30760,-0.9,-2.68,0.91,-0.03,0.07,0.37
30774,-0.91,-2.74,0.85,-0.19,0,0.26
30789,-1.08,-3.35,0.81,-0.34,-0.07,0.12
30803,-1.29,-3.55,0.92,-0.55,-0.1,-0.18
30818,-1.58,-3.74,1.15,-0.55,-0.02,-0.31
30832,-2.14,-4.23,1.65,-0.32,0.1,-0.43
30846,-1.95,-4.23,1.71,-0.13,0.09,-0.46
30862,-0.23,-3.77,1.44,0.28,-0.07,-0.56
30876,0.35,-3.45,1.03,0.47,-0.15,-0.63
30890,1,-2.8,0.46,0.8,-0.09,-0.86
30904,0.64,-2.62,0.53,0.92,-0.03,-0.99
30920,-1.3,-1.77,0.28,1.05,0.08,-1.24
30934,-1.8,-1.39,0.3,1.13,0.14,-1.3
30950,-2.07,-0.71,0.35,1.14,-0.11,-1.28
30964,-1.3,-0.23,0,1.07,-0.36,-1.27
30978,-0.68,-0.03,-0.65,0.99,-0.56,-1.29
30992,0,0.66,-0.7,0.92,-0.58,-1.35
31006,-0.35,0.7,-0.5,0.88,-0.54,-1.32
31022,-1.31,0.55,-0.33,0.71,-0.38,-1.21
31036,-1.28,0.79,-0.2,0.63,-0.28,-1.18
31052,-0.44,1.34,-1.03,0.39,-0.47,-1.07
31066,0.54,1.92,-1.13,0.24,-0.57,-1
31080,1.2,1.98,-1.33,0.08,-0.61,-0.96
31094,1.44,1.34,-0.9,-0.14,-0.56,-1.01
31109,1.25,0.88,-0.62,-0.2,-0.5,-1.12
31124,1.06,0.8,-0.46,-0.09,-0.4,-1.31
31138,0.7,0.66,-0.49,0.08,-0.32,-1.27
31153,0.31,0.81,-0.44,0.51,-0.11,-0.96
31167,0.07,1.19,-0.67,0.73,-0.05,-0.76
31181,-0.04,1.79,-0.9,0.92,-0.02,-0.6
31195,-0.03,2.11,-1.01,1.04,-0.09,-0.41
31210,0.03,2.47,-1.03,0.98,-0.17,-0.36
31225,0.04,2.38,-1.03,0.68,-0.26,-0.31
31239,0.03,2.03,-1.11,0.53,-0.27,-0.28
31254,-0.27,1.71,-1.28,0.31,-0.16,-0.2
31269,-0.49,1.6,-1.31,0.26,-0.09,-0.12
31283,-1.12,1.4,-1.21,0.25,-0.01,0.1
31297,-1.2,1.41,-1.2,0.24,-0.02,0.21
31313,-0.96,1.48,-1.21,0.18,-0.1,0.38
31327,-0.73,1.44,-1.26,0.13,-0.14,0.42
31341,-0.34,1.44,-1.36,0.06,-0.13,0.43
31355,-0.34,1.4,-1.25,-0.14,-0.09,0.43
31369,-0.41,1.28,-1.11,-0.23,-0.04,0.43
31383,-0.64,0.97,-0.97,-0.39,0.06,0.43
31397,-0.73,0.89,-0.96,-0.42,0.1,0.44
31413,-1.36,0.75,-0.93,-0.45,0.16,0.49
31427,-1.63,0.64,-0.95,-0.45,0.2,0.53
31441,-2.19,0.47,-0.63,-0.42,0.24,0.59
