time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
26333,-0.98,-1.36,-1.22,0.01,0.40,-0.75
26347,-1.02,-1.37,-1.20,-0.15,0.43,-0.72
26361,-1.14,-1.55,-1.14,-0.25,0.42,-0.69
26375,-1.09,-1.89,-1.15,-0.43,0.38,-0.61
26389,-1.05,-2.06,-1.13,-0.49,0.33,-0.57
26406,-0.96,-2.60,-1.27,-0.54,0.20,-0.49
26420,-0.90,-2.79,-1.38,-0.52,0.12,-0.45
26436,-0.63,-3.04,-1.68,-0.42,0.03,-0.37
26450,-0.52,-3.06,-1.79,-0.34,0.02,-0.33
26465,-0.24,-2.83,-1.87,-0.17,0.07,-0.22
26479,-0.15,-2.69,-1.81,-0.09,0.09,-0.15
26495,0.10,-2.39,-1.73,0.06,0.05,0.09
26509,0.21,-2.34,-1.79,0.13,0.00,0.24
26524,0.48,-2.28,-1.89,0.19,-0.04,0.39
26539,0.74,-2.24,-2.09,0.31,-0.10,0.65
26554,0.89,-2.18,-2.14,0.35,-0.11,0.75
26568,1.55,-1.88,-1.90,0.45,-0.12,0.93
26582,1.83,-1.71,-1.84,0.52,-0.15,1.00
26598,2.75,-1.31,-2.42,0.65,-0.27,1.16
26612,2.97,-1.15,-2.59,0.70,-0.31,1.24
26626,3.28,-0.88,-2.86,0.81,-0.27,1.39
26640,3.50,-0.71,-2.76,0.86,-0.22,1.46
26656,3.42,-0.18,-2.30,0.97,-0.19,1.55
26670,2.92,0.49,-1.42,0.99,-0.21,1.58
26686,1.85,1.37,-0.23,0.92,-0.31,1.63
26700,1.23,1.70,0.27,0.84,-0.40,1.65
26714,0.19,1.95,0.42,0.75,-0.51,1.67
26728,-0.38,2.06,0.14,0.46,-0.70,1.65
26742,-0.45,1.75,0.57,0.20,-0.70,1.57
26758,-0.33,1.33,0.79,-0.14,-0.53,1.28
26772,-0.17,1.05,0.85,-0.16,-0.45,1.11
26788,0.66,0.49,0.57,-0.13,-0.39,0.45
26802,1.00,0.55,0.31,-0.11,-0.37,0.06
26816,1.88,0.65,-0.31,0.12,-0.13,-0.42
26830,1.87,0.57,-0.25,0.30,0.09,-0.48
26844,1.74,0.48,-0.03,0.58,0.41,-0.57
