time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
67005,-0.04,0.31,-0.12,-0.01,-0.08,0.02
67019,-0.04,0.14,-0.04,-0.02,-0.07,0.03
67035,-0.01,-0.06,-0.17,-0.02,-0.06,0.04
67049,0.08,0.08,-0.24,0.03,-0.06,0.02
67065,0.11,0.22,-0.21,0.06,-0.03,-0.02
67079,0.15,0,-0.33,0.04,0,-0.02
67093,0.12,0,-0.18,0.04,0.03,-0.03
67107,0.09,0.15,-0.19,0.05,0.08,-0.1
67121,-0.03,0.29,-0.01,0.03,0.09,-0.11
67137,-0.12,0.03,-0.03,-0.01,0.1,-0.06
67151,-0.15,-0.06,0.02,-0.01,0.09,-0.06
67166,-0.11,0,-0.07,0.04,0.08,-0.07
67180,-0.08,0.13,-0.01,0.07,0.09,-0.07
67194,-0.05,0.35,-0.04,0.09,0.09,-0.07
67208,-0.08,0.37,-0.07,0.07,0.08,-0.06
67223,-0.17,0.18,0.06,0.06,0.09,-0.05
67238,-0.18,0.21,0,0.06,0.08,-0.04
67252,-0.13,0.26,0,0.07,0.07,-0.05
67267,-0.01,0.18,-0.08,0.03,0.06,-0.04
67281,-0.08,0.05,0.05,0,0.07,-0.03
67295,-0.09,0.03,0.01,-0.02,0.06,-0.03
67309,0,0.12,0,0.01,0.04,-0.03
67324,-0.07,0.15,-0.03,0.02,0.03,-0.02
67339,-0.14,0.16,-0.08,0.03,0.03,0
67353,-0.16,0.18,-0.04,0.03,0.03,-0.01
67368,-0.18,0.16,0.07,0.03,0.03,-0.02
67382,-0.18,0.22,0.06,0.04,0.02,-0.01
67396,-0.1,0.31,0.03,0.03,0,-0.01
67410,-0.09,0.2,-0.01,0.01,-0.01,0
67425,0.05,-0.1,-0.13,-0.01,-0.02,0.01
67440,0.14,-0.06,-0.25,0,0.01,0
67456,0.15,0.11,-0.15,0.04,0.05,-0.04
67470,0.09,0.11,-0.1,0.03,0.07,-0.04
67485,-0.06,0.12,-0.01,0.04,0.09,-0.03
67499,-0.18,0.18,-0.05,0.03,0.09,-0.03
67513,-0.22,0.19,0.03,0.05,0.08,-0.03
67528,-0.21,0.23,0.07,0.06,0.06,-0.02
67542,-0.16,0.24,0.11,0.07,0.05,-0.02
67556,-0.05,0.15,-0.07,0.06,0.04,-0.02
67570,0,0.05,-0.01,0.02,0.04,-0.01
67584,0.03,0.07,-0.1,0,0.05,-0.02
67598,-0.03,0.11,-0.11,0.02,0.07,-0.04
67612,0,0.07,-0.19,0.02,0.07,-0.04
67628,-0.02,0.04,-0.07,0.02,0.07,-0.06
67642,-0.04,0.23,-0.03,0.01,0.08,-0.08
67656,0.02,0.01,-0.29,0,0.09,-0.09
67670,0.14,-0.26,-0.01,-0.02,0.14,-0.08
67684,0.12,-0.16,-0.17,0.01,0.14,-0.07
67698,0.15,0.22,-0.08,0.1,0.15,-0.08
67712,0.12,0.41,-0.16,0.09,0.17,-0.08
67728,0.11,0.6,-0.4,-0.03,0.22,-0.13
67742,0,0.43,-0.1,-0.09,0.27,-0.14
67756,-0.16,-0.09,0.2,-0.12,0.28,-0.14
67771,-0.25,-0.4,0.17,-0.08,0.26,-0.16
67786,-0.21,-0.73,0.27,-0.02,0.25,-0.19
67800,0.05,-0.76,-0.15,0.17,0.24,-0.26
67814,0.37,-0.3,-0.46,0.25,0.28,-0.32
67830,0.63,0.21,-0.44,0.4,0.37,-0.45
67844,0.69,0.24,-0.6,0.43,0.44,-0.49
67858,0.58,-0.48,0.03,0.48,0.55,-0.53
67872,0.39,-0.84,0.09,0.58,0.56,-0.52
67888,0.37,-1.29,0.05,0.91,0.6,-0.47
67902,0.58,-1.02,0.03,1.12,0.61,-0.46
67916,1.19,0.79,-0.39,1.24,0.61,-0.44
67931,1.29,1.2,-0.46,1.15,0.61,-0.37
67945,1.25,1.27,-0.58,1.01,0.61,-0.35
67959,1.2,0.73,-0.67,0.72,0.67,-0.43
67973,1.41,0.63,-0.97,0.65,0.69,-0.52
67989,1.6,1.04,0.23,0.52,0.75,-0.6
68003,1.63,0.86,0.55,-0.06,0.89,-0.63
68018,0.38,-3.43,3.32,-0.71,0.94,-0.54
68032,2.54,-2.31,-4.54,0.76,0.32,-0.77
68046,3.15,0.24,-1.88,1.45,0.35,-0.84
68060,0.75,-1.83,-0.81,0.81,0.31,-0.07
68074,0.94,-1.86,-1.68,0.83,0.31,-0.18
68090,1.88,0.19,-1.42,0.65,0.48,-0.48
68104,1.57,0.14,-1.04,0.46,0.52,-0.39
68120,0.49,-0.37,-0.83,0.03,0.46,-0.31
68134,0.06,-0.51,-1.41,-0.03,0.41,-0.29
68148,0.2,-0.94,-1,-0.02,0.38,-0.23
68163,0.08,-0.82,-1.49,0.2,0.26,-0.08
68178,0.05,-0.58,-1.51,0.22,0.23,-0.04
68193,0.02,-0.48,-1.39,0.24,0.2,0.01
68207,-0.1,-0.37,-0.75,0.25,0.19,0.04
68223,-0.63,-0.48,-0.42,0.19,0.19,0.11
68238,-0.53,0.17,-0.56,0.19,0.15,0.07
68252,-0.66,0.37,-0.38,0.04,0.12,0.14
68266,-0.61,-0.03,-1.9,-0.02,0.16,0.18
68283,-0.58,0.85,-0.83,-0.06,0.27,0.1
68302,-1.65,0.6,0.77,-0.02,0.25,0.29
68316,-1.98,-0.07,0.72,0.04,0.14,0.41
68332,-2.43,-1.36,0.04,0.48,-0.19,0.62
68346,-2.39,-1.11,-0.12,0.79,-0.35,0.68
68360,-2.45,-0.02,0.45,1.06,-0.48,0.71
68374,-2.42,0.12,0.58,1.29,-0.84,0.88
68389,-2.49,-0.12,0.6,1.4,-1.02,0.97
68404,-2.6,-0.68,0.83,1.73,-1.33,1.14
68419,-2.8,-0.66,0.91,1.94,-1.48,1.22
68434,-2.91,-0.68,0.93,2.28,-1.77,1.42
68448,-2.89,-0.88,0.71,2.38,-1.9,1.56
68462,-2.83,-1.33,0.58,2.61,-2.14,1.82
68476,-2.1,-1.49,-0.36,2.75,-2.22,1.88
68492,-1.42,-1.3,-1.23,2.98,-2.25,1.78
68506,-1.13,-1.06,-1.73,2.9,-2.19,1.69
68523,-0.47,-0.25,-1.32,2.45,-1.88,1.58
68537,-0.36,0.04,-1.03,2.18,-1.74,1.58
68551,0.19,1.25,-0.07,1.64,-1.52,1.66
68565,0.48,2.09,0.1,1.42,-1.44,1.67
68581,1.13,3.3,-0.09,1.23,-1.36,1.69
68595,0.95,2.98,0.06,0.76,-1.08,1.8
68609,0.71,2.3,0.18,0.5,-0.93,1.91
68624,0.01,-0.2,0.45,0.31,-0.73,2.02
68638,-0.07,-0.6,0.49,0.4,-0.73,1.98
68652,0.91,-0.11,0.31,0.85,-0.83,1.85
68666,1.27,0.4,0.02,1.16,-0.86,1.77
68682,1.57,1.01,0.14,1.53,-0.7,1.64
68696,1.35,1.1,0.35,1.59,-0.58,1.6
68710,0.96,1.33,0.84,1.61,-0.5,1.56
68725,0.99,1.71,0.86,1.57,-0.46,1.45
68739,1.09,1.94,0.82,1.48,-0.44,1.4
68753,1.51,2.69,0.58,1.27,-0.35,1.32
68767,1.6,2.94,0.48,1.12,-0.29,1.28
68783,1.48,3.28,0.34,0.71,-0.14,1.22
68797,1.26,3.04,0.11,0.46,-0.06,1.19
68811,1.12,2.6,0.02,0.25,0,1.14
68826,1.13,2.23,0,0.09,0.06,0.92
68841,1.12,2.27,0.05,0.11,0.07,0.76
68855,1.13,2.4,0.03,0.16,0.12,0.46
68869,1.07,2.39,0.01,0.15,0.14,0.33
68885,1.04,2.29,0.11,0.13,0.17,0.09
68899,1.1,2.23,0.21,0.12,0.17,-0.03
68913,1.1,2.07,0.31,0.17,0.15,-0.29
68927,1,1.95,0.25,0.22,0.15,-0.43
68944,0.77,1.39,-0.06,0.38,0.15,-0.69
68958,0.69,1.22,-0.15,0.47,0.14,-0.8
68974,0.42,1.15,-0.26,0.61,0.14,-0.98
68988,0.35,1.14,-0.24,0.63,0.15,-1.05
69002,0.22,1.08,-0.23,0.61,0.16,-1.1
69016,0.03,0.87,-0.23,0.51,0.19,-1.16
69030,0,0.75,-0.22,0.43,0.2,-1.18
69046,0.13,0.45,-0.26,0.26,0.22,-1.17
69060,0.17,0.36,-0.31,0.17,0.24,-1.15
69076,0.34,0.03,-0.18,-0.03,0.29,-1.06
69090,0.38,-0.18,-0.3,-0.11,0.31,-1
69104,0.31,-0.66,-0.45,-0.2,0.36,-0.88
69118,0.24,-0.81,-0.52,-0.22,0.38,-0.81
69134,0.21,-1.06,-0.61,-0.21,0.41,-0.66
69148,0.29,-1.09,-0.65,-0.2,0.41,-0.58
69162,0.37,-1.08,-0.55,-0.19,0.41,-0.5
69177,0.3,-1.01,-0.4,-0.18,0.41,-0.29
69191,0.27,-1,-0.43,-0.19,0.4,-0.2
69205,0.5,-1,-0.57,-0.26,0.34,-0.04
69219,0.78,-1.07,-0.78,-0.3,0.32,0.03
69235,0.77,-1.08,-0.77,-0.42,0.31,0.18
69249,0.58,-1.07,-0.66,-0.48,0.3,0.25
69263,0.36,-1,-0.55,-0.56,0.29,0.31
69278,0.27,-1.03,-0.45,-0.68,0.26,0.4
69293,0.17,-1.19,-0.33,-0.72,0.25,0.43
69307,0.14,-1.38,-0.2,-0.69,0.22,0.49
69321,0.25,-1.47,-0.27,-0.62,0.2,0.52
69337,0.44,-1.44,-0.45,-0.43,0.17,0.52
69351,0.49,-1.42,-0.56,-0.32,0.18,0.52
69365,0.39,-1.42,-0.83,-0.11,0.24,0.51
69379,0.33,-1.36,-0.8,-0.01,0.27,0.51
69395,-0.03,-1.08,-0.7,0.17,0.33,0.5
69409,-0.17,-0.97,-0.65,0.25,0.34,0.5
69425,-0.5,-0.97,-0.43,0.31,0.35,0.51
69439,-0.63,-0.99,-0.35,0.45,0.32,0.52
69453,-0.73,-0.98,-0.25,0.54,0.29,0.52
69467,-1.11,-0.94,-0.4,0.75,0.19,0.53
69481,-1.19,-0.78,-0.43,0.84,0.15,0.54
69497,-1.29,-0.17,-0.33,0.95,0.06,0.57
69511,-1.24,0.07,-0.17,0.95,0.03,0.61
69527,-1.03,0.68,-0.06,0.82,-0.02,0.72
69541,-0.97,0.73,-0.11,0.71,-0.03,0.78
69555,-0.9,0.73,-0.18,0.59,-0.03,0.84
69569,-0.75,0.65,-0.17,0.38,-0.02,0.95
69583,-0.6,0.69,-0.07,0.33,-0.02,1
69599,-0.01,0.88,0.03,0.29,-0.04,1.06
69613,0.17,0.95,0.13,0.27,-0.05,1.08
69629,0.68,0.69,0.1,0.32,-0.07,1.07
69643,0.81,0.61,-0.03,0.4,-0.09,1.02
69657,0.96,0.62,-0.12,0.62,-0.11,0.92
69671,0.92,0.85,0.04,0.76,-0.12,0.86
69687,0.86,1.38,0.39,0.95,-0.16,0.71
69701,0.88,1.7,0.58,0.98,-0.18,0.66
69715,0.95,1.75,0.6,0.96,-0.21,0.61
69730,0.95,1.73,0.58,0.81,-0.25,0.54
69745,0.62,1.72,0.59,0.7,-0.23,0.5
69759,0.05,1.68,0.76,0.48,-0.18,0.43
69773,-0.5,1.48,0.84,0.39,-0.16,0.4
69789,-0.85,1.32,1.03,0.23,-0.14,0.31
69803,-0.94,1.23,1.15,0.18,-0.13,0.26
69817,-0.71,1,1.14,0.14,-0.15,0.19
69831,-0.48,0.96,1.08,0.13,-0.16,0.17
69846,-0.09,0.96,0.84,0.15,-0.16,0.15
69860,0.13,1.17,0.75,0.21,-0.11,0.17
69874,0.15,1.28,0.65,0.24,-0.08,0.19
69890,0.03,1.54,0.54,0.24,0,0.23
69904,0,1.57,0.48,0.22,0.02,0.26
69918,-0.1,1.6,0.47,0.15,0.04,0.27
69932,-0.14,1.62,0.56,0.11,0.05,0.27
69947,-0.31,1.42,0.55,0.08,0.04,0.27
69961,-0.37,1.28,0.59,0.02,0.02,0.23
69975,-0.45,1.24,0.56,0.01,0,0.2
69990,-0.5,1.4,0.48,0.03,-0.05,0.15
70004,-0.46,1.53,0.36,0.04,-0.08,0.12
70018,-0.27,1.57,0.21,-0.03,-0.1,0.08
70032,-0.18,1.56,0.2,-0.09,-0.1,0.07
70047,-0.13,1.53,0.21,-0.16,-0.1,0.06
70061,-0.1,1.37,0.26,-0.25,-0.07,0.03
70075,-0.09,1.33,0.26,-0.28,-0.07,0.03
70091,-0.03,1.19,0.19,-0.27,-0.08,-0.01
70105,-0.01,1.11,0.19,-0.27,-0.09,-0.03
70119,0.02,0.95,0.13,-0.24,-0.1,-0.08
70133,0.04,0.93,0.13,-0.22,-0.11,-0.1
70148,0.17,1.04,0.19,-0.2,-0.13,-0.12
70162,0.38,1.15,0.17,-0.21,-0.15,-0.14
70176,0.46,1.15,0.07,-0.25,-0.16,-0.14
70191,0.7,0.82,-0.02,-0.35,-0.14,-0.16
70205,0.72,0.65,0.01,-0.39,-0.11,-0.18
70219,0.75,0.47,-0.03,-0.4,-0.08,-0.24
70233,0.69,0.44,-0.11,-0.37,-0.07,-0.28
70248,0.61,0.39,-0.09,-0.33,-0.05,-0.33
70263,0.14,0.26,-0.04,-0.27,-0.02,-0.43
70278,-0.12,0.36,0,-0.24,-0.02,-0.49
70293,-0.25,0.47,-0.01,-0.2,-0.04,-0.6
70312,-0.49,0.9,-0.02,-0.26,-0.07,-0.64
70326,-0.44,0.95,0.04,-0.35,-0.07,-0.64
70342,0.4,0.41,-0.09,-0.51,-0.13,-0.65
70356,0.75,-0.03,-0.24,-0.57,-0.15,-0.68
70370,0.91,-0.87,-0.55,-0.59,-0.08,-0.73
70384,0.73,-0.88,-0.52,-0.49,-0.03,-0.74
70400,0.32,-0.4,-0.29,-0.21,-0.01,-0.79
70414,0.31,-0.34,-0.21,-0.11,-0.03,-0.79
70430,0.28,-0.26,0,-0.03,-0.05,-0.77
70444,0.22,0.06,-0.07,-0.03,-0.08,-0.76
70458,0.25,0.22,-0.08,-0.04,-0.11,-0.76
70472,0.51,0.19,-0.31,-0.16,-0.17,-0.73
70486,0.57,0.04,-0.36,-0.27,-0.17,-0.71
70503,0.5,-0.18,-0.29,-0.54,-0.13,-0.67
70517,0.32,-0.24,-0.25,-0.54,-0.13,-0.67
70533,0.19,-0.38,-0.18,-0.63,-0.1,-0.65
70547,0.08,-0.5,-0.14,-0.67,-0.08,-0.64
70561,-0.02,-0.64,-0.11,-0.67,-0.08,-0.65
70575,-0.04,-0.72,-0.12,-0.66,-0.08,-0.66
70591,0.05,-0.83,-0.2,-0.63,-0.07,-0.66
70605,0.15,-0.86,-0.25,-0.62,-0.06,-0.66
70619,0.43,-0.76,-0.45,-0.58,-0.04,-0.67
70634,0.48,-0.87,-0.52,-0.54,0.03,-0.67
70648,0.41,-1.1,-0.56,-0.51,0.07,-0.65
70662,0.33,-1.29,-0.68,-0.4,0.12,-0.64
70676,0.24,-1.23,-0.73,-0.34,0.15,-0.63
70691,0.1,-1.02,-0.72,-0.29,0.15,-0.61
70705,0.05,-1.03,-0.7,-0.24,0.17,-0.56
70719,0.02,-1.08,-0.71,-0.23,0.15,-0.54
70734,0.08,-1.22,-0.78,-0.21,0.12,-0.5
70748,0.15,-1.29,-0.76,-0.19,0.1,-0.48
70762,0.25,-1.4,-0.9,-0.12,0.06,-0.4
70776,0.32,-1.35,-0.9,-0.08,0.04,-0.35
70791,0.52,-1.02,-0.96,-0.05,0.01,-0.3
70806,0.6,-0.92,-0.97,-0.05,-0.01,-0.17
70820,0.63,-0.83,-0.97,-0.08,-0.02,-0.09
70835,0.6,-0.88,-0.97,-0.15,-0.03,0.06
70849,0.54,-0.96,-0.93,-0.17,-0.04,0.12
70864,0.37,-1.13,-0.8,-0.16,-0.06,0.21
70878,0.35,-1.05,-0.77,-0.12,-0.07,0.24
70894,0.37,-0.8,-0.67,-0.06,-0.1,0.3
70908,0.38,-0.72,-0.67,-0.04,-0.1,0.33
70922,0.2,-0.53,-0.57,-0.02,-0.1,0.36
70936,0.08,-0.51,-0.49,0,-0.1,0.41
70950,-0.06,-0.51,-0.4,0,-0.09,0.42
70964,-0.41,-0.5,-0.28,0.06,-0.1,0.4
70978,-0.51,-0.43,-0.27,0.1,-0.12,0.38
70994,-0.63,-0.28,-0.03,0.18,-0.15,0.38
71008,-0.62,-0.17,0.02,0.21,-0.18,0.38
71022,-0.52,0.01,0.03,0.22,-0.2,0.39
71036,-0.39,0.17,0.03,0.21,-0.22,0.42
71050,-0.33,0.25,0,0.18,-0.22,0.44
71064,-0.2,0.33,0,0.11,-0.2,0.5
71078,-0.14,0.4,0,0.08,-0.19,0.53
71094,-0.01,0.46,0.08,0.03,-0.16,0.6
71108,0.13,0.54,0.23,0.02,-0.15,0.64
71122,0.25,0.7,0.26,0.02,-0.13,0.68
71137,0.29,0.78,0.34,0.02,-0.09,0.76
71152,0.34,0.81,0.34,0.02,-0.08,0.79
71166,0.49,0.86,0.3,0.06,-0.03,0.79
71180,0.56,0.92,0.29,0.12,-0.01,0.77
71196,0.51,1.08,0.37,0.27,0.03,0.74
71210,0.41,1.19,0.42,0.33,0.04,0.69
71224,0.32,1.31,0.38,0.41,0.05,0.59
71238,0.3,1.39,0.4,0.44,0.05,0.54
71252,0.18,1.47,0.41,0.45,0.05,0.48
71266,0.02,1.52,0.44,0.45,0.06,0.38
71280,-0.07,1.55,0.43,0.43,0.06,0.33
71296,-0.12,1.56,0.47,0.38,0.09,0.27
71310,-0.13,1.59,0.45,0.37,0.1,0.24
71324,-0.13,1.5,0.38,0.35,0.11,0.23
71338,-0.11,1.47,0.38,0.32,0.15,0.23
71352,-0.06,1.44,0.24,0.3,0.16,0.23
71366,0.11,1.45,0.09,0.25,0.19,0.27
71380,0.21,1.44,0.03,0.22,0.21,0.3
71396,0.05,1.46,0.11,0.15,0.23,0.37
71410,-0.08,1.4,0.16,0.11,0.23,0.38
71424,-0.03,1.22,0,0.09,0.22,0.38
71438,0.15,1.27,-0.08,0.06,0.17,0.32
71452,0.32,1.32,-0.18,0.04,0.16,0.3
71466,0.69,1.45,-0.25,-0.01,0.16,0.28
71480,0.73,1.42,-0.32,-0.05,0.16,0.27
71496,0.55,1.24,-0.32,-0.11,0.16,0.22
71510,0.38,1.17,-0.3,-0.13,0.15,0.19
71524,-0.08,1.08,-0.24,-0.13,0.14,0.15
71539,-0.19,1.13,-0.17,-0.11,0.1,0.05
71554,-0.29,1.16,-0.07,-0.12,0.08,0
71568,-0.41,1.05,-0.06,-0.15,0.04,-0.09
71582,-0.4,1,-0.15,-0.17,0.03,-0.15
71598,0,0.85,-0.33,-0.21,0.02,-0.27
71612,0.14,0.81,-0.43,-0.22,0.03,-0.31
71626,0.31,0.45,-0.52,-0.25,0.1,-0.4
71640,0.32,0.25,-0.55,-0.25,0.14,-0.43
71656,0.26,-0.15,-0.63,-0.22,0.16,-0.47
71670,0.2,-0.4,-0.62,-0.1,0.19,-0.57
71686,0.03,-0.79,-0.64,0.04,0.19,-0.64
71700,-0.13,-1.09,-0.57,0.1,0.19,-0.67
71714,-0.16,-1.22,-0.5,0.17,0.17,-0.69
71728,-0.22,-1.31,-0.48,0.33,0.13,-0.73
71742,-0.39,-1.33,-0.34,0.39,0.11,-0.72
71758,-0.4,-1.56,-0.29,0.46,0.07,-0.69
71772,-0.26,-1.63,-0.36,0.48,0.05,-0.68
71788,0.09,-1.59,-0.35,0.48,0.02,-0.64
71802,0.46,-1.59,-0.36,0.46,0.02,-0.61
71816,0.66,-1.78,-0.21,0.42,0.03,-0.57
71830,0.72,-1.91,-0.1,0.34,0.04,-0.5
71845,0.85,-2.21,0.19,0.33,0.03,-0.45
71860,0.86,-2.2,0.29,0.35,-0.01,-0.39
71874,0.82,-2.11,0.4,0.37,-0.02,-0.35
71889,0.73,-1.99,0.49,0.4,-0.05,-0.27
71903,0.68,-2.01,0.54,0.38,-0.06,-0.22
71917,0.58,-1.84,0.78,0.33,-0.06,-0.17
71931,0.56,-1.67,0.82,0.24,-0.07,-0.06
71947,0.24,-1.4,1.04,0.19,-0.06,-0.01
71961,0.13,-1.46,1.04,0.06,-0.02,0.13
71975,0.07,-1.53,1.03,0.01,0,0.18
71990,-0.03,-1.6,0.96,-0.01,0.04,0.23
72004,-0.03,-1.55,0.9,0.01,0.05,0.25
72018,-0.06,-1.51,0.94,0.06,0.11,0.31
72032,-0.08,-1.38,0.91,0.08,0.14,0.34
72047,0.04,-0.94,0.67,0.13,0.14,0.37
72062,0.1,-0.89,0.63,0.2,0.16,0.45
72076,0.08,-0.69,0.49,0.22,0.17,0.49
72091,0.06,-0.54,0.44,0.27,0.19,0.53
72105,0.06,-0.34,0.4,0.3,0.18,0.55
72119,0,-0.22,0.2,0.31,0.18,0.58
72133,0,-0.17,0.26,0.29,0.18,0.59
